,Text,Date,Sentiment
21824,"Wall St falls as Microsoft forecast hits tech stocks, earnings disappoint",2023-01-25 21:49:00,
21825,Investors push mining companies to adopt better sustainability standards,2023-01-25 21:39:00,
21826,"Upper circuit stock: Penny stock up 420% in 6 months,  ���1 lac turns  ���5.20 lac",2023-01-25 20:30:00,
21827,Only 1 out of 10 F&O traders made profit in FY22; average loss stood at  ���1.25 lakh,2023-01-25 20:17:00,
21828,Penny stock rallies 6% as Board declares to acquire Kohinoor Foods for  ���250 Cr,2023-01-25 19:35:00,
21829,"Penny stock rallies 1100% in 1 year, Board to invest in EV & Green Energy sector",2023-01-25 18:51:00,
21830,Jittery investors turn to cash in hunt for yield,2023-01-25 18:22:00,
21831,"This TVS group company declares  ���59 per share dividend, Q3 sales up 22%",2023-01-25 17:48:00,
21832,"Indraprastha Gas declares 150% dividend, records 67% jump in Q3 revenue",2023-01-25 17:06:00,
21833,"TeamLease to consider share buyback next week, shows 14% revenue growth in Q3",2023-01-25 16:24:00,
21834,"Benchmark indices lose over 1% each with Nifty below 17,900 amid expiry",2023-01-25 16:12:00,
21835,"Multibagger stock declares 125% dividend, PAT jumps 171% in Q3",2023-01-25 16:26:00,
21837,Nithin Kamath explains why instant stock market settlement isn't possible,2023-01-25 15:12:00,
21838,Multibagger stock gets buy tag from Anand Rathi despite 400% rise in 3 years,2023-01-25 14:17:00,
21839,Hindenburg Research seeks answers to 88 questions in its report,2023-01-25 14:07:00,
21840,"US wants to follow India, in stock market settlement cycle",2023-01-25 13:28:00,
21841,How stock market investors may benefit from T+1 settlement in India ��� explained,2023-01-25 13:07:00,
21842,Indian stock market looking nervous ahead of Budget: Analyst,2023-01-26 10:06:00,
21843,Maruti Suzuki shares' target price raised post Q3; stock inches towards high,2023-01-25 12:28:00,
21844,"Adani Enterprises FPO: IHC, ADIA bid to buy stock in $2.5 billion share sale",2023-01-25 12:12:00,
21845,"Bloodbath on D-Street: Why Sensex, Bank Nifty today tumbled up to 1000 points",2023-01-25 17:05:00,
21846,"Adani Group stocks lose  ���46,000 crore in m-cap after Hindenburg alleges fraud",2023-01-25 12:59:00,
21848,"From RIL, TCS to Adani: Top stocks to move to T+1. What faster settlement means",2023-01-25 10:56:00,
21849,Adani Group stocks fall after Hindenburg takes short position,2023-01-25 10:46:00,
21850,"Dividend of  ���35/share declared by this IT stock. Check record, payout date",2023-01-25 09:28:00,
21851,"Bonus, stock split and strong earnings. Finance stock doubles in 3 years",2023-01-25 09:30:00,
21852,Stock market holidays 2023: NSE and BSE will remain closed on these 15 days,2023-01-25 09:16:00,
21853,"Fundamental picks: NHPC, PowerGrid among HDFC Securities' top bets",2023-01-26 03:56:00,
21855,"Adani Enterprises FPO: Who can subscribe, lot size, price, GMP, other details",2023-01-25 07:56:00,
21856,'TVS Motor a front runner in EV space': Brokerages bullish on shares post Q3,2023-01-25 07:48:00,
21857,"NYSE glitch leads to busted trades, prompts investigation",2023-01-25 07:39:00,
21858,"Stocks to Watch: Bharti Airtel, TVS Motor, Tata Motors, Jet Airways",2023-01-25 07:22:00,
21859,Buy or sell: Vaishali Parekh recommends 3 stocks to buy today ��� January 25,2023-01-25 06:44:00,
21860,Day trading guide for today: 4 stocks to buy or sell on Wednesday ��� 25th January,2023-01-25 05:56:00,
21861,"Growth, expansion aid Syngene in Q3",2023-01-24 23:36:00,
21862,Wall Street falls as earnings kicks into high gear,2023-01-24 22:41:00,
21863,"Welspun Enterprises fixes record date for share buyback, premium is up 32.84%",2023-01-24 22:24:00,
21864,"FMCG penny stock to mull stock split, scrip rallies over 400% in 3 years",2023-01-24 19:22:00,
21865,SEC scrutiny blocks some crypto firms from going public,2023-01-25 09:24:00,
21866,"This mid cap stock declares dividend, scrip trading at a dividend yield of 2.32%",2023-01-24 17:12:00,
21867,"Indian market flat as losses in PSU banks offset the gains in auto, IT stocks",2023-01-24 16:27:00,
21868,Margins of listed companies may improve in FY24 despite weak GDP growth,2023-01-24 16:04:00,
21869,Why I Recommended a SELL on Vijay Kedia's Favorite Stock,2023-01-24 14:01:00,
21870,Vedanta to mull interim dividend on equity shares this week. Check record date,2023-01-24 14:10:00,
21871,Nykaa share price jumps about 7% as company appoints a new CFO,2023-01-25 10:51:00,
21872,India's first green bond to go to auction on Wednesday,2023-01-24 12:14:00,
21874,Tata Motors share price gains after voluntary delisting from NYSE,2023-01-24 11:09:00,
21875,Indian stock market set to shift to world���s fastest settlement cycle,2023-01-24 11:02:00,
21876,Porinju Veliyath buys shares of this multibagger smallcap stock,2023-01-24 10:47:00,
21877,"IT stock to pay interim dividend of  ���20 per share, record date next week",2023-01-24 09:49:00,
21880,"Day trading guide for Tuesday: Axis Bk, GAIL among 6 stocks to buy today-Jan 24",2023-01-24 07:33:00,
21881,"Stocks to Watch: Axis Bank, Maruti Suzuki, Zomato, Tata Motors, Nykaa",2023-01-24 07:24:00,
21882,"Wall Street surges, powered by tech rebound",2023-01-24 06:11:00,
21883,Tesla is still Wall Street���s favorite car company,2023-01-24 02:30:00,
21884,Market recovery hinges on quick inflation drop,2023-01-24 02:02:00,
21885,"In respite for NSE, SAT sets aside Sebi���s co-location ruling",2023-01-24 06:25:00,
21886,Wall Street rises as chipmakers lead tech shares higher,2023-01-23 22:33:00,
21887,"Multibagger stock rallies over 130% YTD,  ���1 lakh turns  ���2.30 lakh in 22 days",2023-01-23 21:50:00,
21889,"This multibagger mid cap stock declares 150% dividend, check record date",2023-01-23 20:47:00,
21890,"Sebi returns draft of Paymate's  ���1,500 cr IPO with advise for refiling",2023-01-23 20:05:00,
21891,"Navratna company declares 80% dividend, check record date here",2023-01-23 18:56:00,
21892,"IIFL Securities declares 150% dividend, scrip ended on a green note",2023-01-23 17:49:00,
21894,Market indices end in the green after 2 days of losses,2023-01-23 16:38:00,
21895,Penny stock hit 5% upper circuit as Board to mull stock split and bonus shares,2023-01-23 16:22:00,
21896,Auto ancillary stock hits record high. Anand Rathi says 'Buy' post Q3,2023-01-23 15:42:00,
21897,Circuit to circuit: Multibagger penny stock jumps 3300% in 2 years,2023-01-23 14:37:00,
21898,Next D-Mart May Not be a Retail Stock,2023-01-23 14:11:00,
21899,Can Fin Homes shares rally 6% post Q3 results. Brokerages have ���Buy��� rating,2023-01-23 14:00:00,
21900,Sula Vineyards share hits record high. Stock surges 30% is six straight sessions,2023-01-23 13:18:00,
21901,Multibagger Tata stock enters Saurabh Mukherjea's rising giants portfolio,2023-01-23 12:00:00,
21902,Nykaa shares trade at record low. ICICI Securities upgrades stock's rating,2023-01-23 11:53:00,
21903,REC's dividend decision to be taken in board meet next week,2023-01-23 11:08:00,
21905,Yes Bank shares tank 11% on reporting 80% fall in Q3 profit,2023-01-23 12:33:00,
21906,"ICICI Bank remains a top stock pick after strong Q3, brokerages see huge upside",2023-01-23 11:33:00,
21907,Vijay Kedia books profit in stock that he held for two decades,2023-01-23 13:55:00,
21909,Bank of Baroda among 2 Indian stocks that may get included to MSCI index,2023-01-23 09:09:00,
21910,"For 2023, we like IT, pharma, infra and defence sectors: MarketsMojo",2023-01-23 08:27:00,
21911,"PE at 21, ROE at 40, strong Q3 results: FMCG stock gives 25% return in 6 months",2023-01-23 08:11:00,
21912,"PVR, 2 other stocks under F&O ban on NSE today",2023-01-23 07:41:00,
21913,"Stocks to Watch: RIL, ICICI Bank, Adani Enterprises, JSW Steel, LTMindtree",2023-01-23 07:21:00,
21914,Buy or sell: Vaishali Parekh recommends 3 stocks to buy today ��� January 23,2023-01-23 06:59:00,
21915,Day trading guide for today: 6 stocks to buy or sell on Monday ��� 23rd January,2023-01-23 06:04:00,
21916,Gold ETF inflows slump as prices rise,2023-01-22 23:45:00,
21917,Zinc Int���l deal brightens HZL���s growth prospects but valuation weighs,2023-01-22 21:49:00,
21918,Small cap stock declares  ���30 per share dividend. Check record date here,2023-01-22 21:29:00,
21919,Motilal Oswal Fund buys 2.5% stake in this multibagger smallcap firm: Check here,2023-01-22 20:31:00,
21921,"Multibagger stock of  ���50 secures order of  ���143 Cr, gains 100% in 6 months",2023-01-22 17:33:00,
21922,"Locked in upper circuit limit, multibagger IT stock to turn ex-split this week",2023-01-22 16:43:00,
21923,"Union Bank Q3 upbeat: Brokerage sees double-digit upside, recommends buying",2023-01-22 16:35:00,
21926,"Multibagger stock rallies 200% in 6 months, Board declares stock split, dividend",2023-01-22 14:48:00,
21927,"4 out of top 10 biggies m-cap adds  ���82,481 cr last week; HDFC Bank top gainer",2023-01-22 11:13:00,
21928,"Adani Enterprises'  ���20,000 cr FPO set to open on this week. 10 key points",2023-01-22 09:12:00,
21930,"FPIs outflow over  ���15,200 cr in Indian equities; sells big in these stocks",2023-01-21 21:58:00,
21931,Multibagger stock makes fresh 52-week-high as Board announces 1:10 stock split,2023-01-22 14:08:00,
21932,"Mutual funds, retail investors take a liking to Paytm shares, raise stakes in Q3",2023-01-21 21:07:00,
21933,Multibagger stock declares share buyback worth  ���21 Cr at a premium of 15%,2023-01-21 19:28:00,
21935,"This stock rallies over 600% in 2 years of listing, Board to declare stock split",2023-01-21 16:03:00,
21936,Mukul Agarwal portfolio: Investor raises stake in multibagger penny stock in Q3,2023-01-21 13:42:00,
21938,1:3 bonus share impact: Dividend paying stock gives 34% return in 2022,2023-01-23 07:05:00,
21939,"Two bonus shares, one stock split:  ���15,000 turns to  ���70,000 in 2 years",2023-01-23 07:03:00,
21940,Nifty week ahead: Range-bound market will look for direction ahead of budget,2023-01-21 11:27:00,
21941,"SME IPO declares 2:1 bonus shares, scrip rallies 460% in 6 months of listing",2023-01-20 22:04:00,
21943,"Mid cap company declares 300% dividend, scrip hit 52-week-low",2023-01-20 18:21:00,
21944,"IIFL Wealth declares  ���17 per share dividend, 1:1 bonus shares and stock split",2023-01-20 17:44:00,
21945,"Markets end the week in red on feeble global cues; Sensex manages to hold 60,600",2023-01-20 17:41:00,
21946,"DCM Shriram declares 290% dividend, revenue surges 19%YoY in Q3",2023-01-20 17:11:00,
21947,Sunil Singhania portfolio: Top 5 Stocks,2023-01-20 15:56:00,
21948,Rakesh Jhunjhunwala stock hits 52-week high after giving 70% return in six month,2023-01-20 14:00:00,
21949,Vijay Kedia buys fresh stake in this textile stock during Q3,2023-01-20 13:40:00,
21950,Why Asian Paints share price is correcting despite positive Q3 results,2023-01-20 12:55:00,
21951,"Metal stocks to buy/sell/hold: JSPL, Shyam Metalics among ICICI Sec's top picks",2023-01-20 12:47:00,
21952,Hindustan Zinc shares: Capex plans could dim appeal of dividend payouts,2023-01-20 11:48:00,
21953,Adani Enterprise FPO: Discount share sale an attempt to woo retail investors,2023-01-20 11:34:00,
21954,"IT stock declares interim dividend of  ���19/share, fixes record date for payment",2023-01-20 10:42:00,
21955,Penny stock turns multibagger in one year. Trades ex-split today in 1:10 ratio,2023-01-20 10:12:00,
21956,RIL share price lower ahead of Q3 earnings. Know the numbers preview here,2023-01-20 09:48:00,
21957,"As gold hits new high, experts recommend these two stocks",2023-01-20 09:18:00,
21959,Wall St slips as labour market data fuels Fed worry,2023-01-20 08:03:00,
21960,"Stocks to Watch: HUL, Adani Ent, Hindustan Zinc, LTTS, PVR, AUSFB",2023-01-20 07:29:00,
21961,Buy or sell: Vaishali Parekh recommends 2 stocks to buy today ��� January 20,2023-01-20 07:15:00,
21962,Day trading guide for today: 6 stocks to buy or sell on Friday ��� 20th January,2023-01-20 06:06:00,
21963,Wall Street falls as recession worries resurface,2023-01-19 21:49:00,
21964,Auction for sale (issue) of govt securities: Here���s what you need to know,2023-01-19 19:48:00,
21965,"Hindustan Zinc declares third interim dividend of  ���5,493 cr, fixes record date",2023-01-19 23:21:00,
21966,Markets snap 2-day winning streak on weekly F&O expiry; Sensex below 61k,2023-01-19 17:18:00,
21967,"With Nifty target of 19,250, BNP Paribas remains ���cautious��� on Indian equities",2023-01-19 14:55:00,
21968,Company that announced bonus shares twice in 2022 to decide of buyouts next week,2023-01-19 14:14:00,
21969,"Budget Dictionary:From disinvestment to capital expenditure, key terms explained",2023-02-01 09:35:00,
21971,"Multibagger stock hits upper circuit for 19th straight session, up 122% in a mth",2023-01-19 12:44:00,
21972,Sundaram Alternates raises  ���205 cr from first close of debut credit fund,2023-01-19 11:48:00,
21973,How 5 multibagger microcap stocks of 2022 are set up for 2023,2023-01-19 15:42:00,
21974,"SBI, Canara Bank to PNB: Motilal Oswal recommends 5 budget stocks to buy",2023-01-20 07:21:00,
21975,"Interim dividend of  ���28/share declared by this IT stock, record date next week",2023-01-19 11:22:00,
21976,Merged HDFC may see strong incremental MSCI-related foreign inflows if..,2023-01-19 10:18:00,
21978,Circuit to circuit stock: SME share doubles shareholders' money in 6 months,2023-01-19 08:59:00,
21980,4 stocks continue to be under F&O ban on NSE; Indiabulls Housing out,2023-01-19 07:42:00,
21981,"Stocks to Watch: IndusInd Bank, Vedanta, Adani Ent, SBI, PGCIL, Airtel",2023-01-19 07:26:00,
21982,Asian stocks decline on deepening growth concerns,2023-01-19 07:23:00,
21983,Buy or sell: Vaishali Parekh recommends 2 stocks to buy today ��� January 19,2023-01-19 07:07:00,
21984,"Weak demand keeps stocks of consumer durables, electricals in check",2023-01-19 06:21:00,
21985,Eastern Logica Infoway gets listed on BSE SME platform,2023-01-18 20:06:00,
21986,"Adani Enterprises' follow-on-public offer: Floor price, other details",2023-01-18 17:51:00,
21987,Markets extend rally with metal stocks leading; Sensex settles over 61k,2023-01-18 16:42:00,
21988,Hindustan Zinc to consider interim dividend today. Check record date,2023-01-19 08:41:00,
21989,"ITC, Tata Power, and 4 other stocks are pre-budget picks. Here's why",2023-01-19 10:56:00,
21990,"Adani Enterprises'  ���20,000-cr FPO for capex, debt repayment to open on 27 Jan",2023-01-18 16:43:00,
21991,Market veterans highlight the losses new-age tech firm investors are sitting on,2023-01-18 14:53:00,
21992,Stock market: Where foreign investors money is going to,2023-01-18 13:52:00,
21993,Multibagger SME IPO:  ���1.08 lakh of allottees turns to 3.43 lakh in 5 months,2023-01-18 14:13:00,
21994,This oil and gas stock to consider stock split soon; shares surge,2023-01-18 13:16:00,
21995,"Pharma stocks to buy, add, hold, as per ICICI Securities: Things to watch in Q3",2023-01-18 12:35:00,
21996,Top 5 stocks mutual funds bought and sold in Dec 2022,2023-01-18 16:13:00,
21997,Technical Indicators Suggest Momentum for FMCG Stocks. Key Levels to Watch���,2023-01-18 11:35:00,
21998,Sensex and Budget 2023: Ridham Desai will be watching 3 key things,2023-01-18 11:34:00,
21999,Nykaa shares crash to hit all-time low. Key levels to watch,2023-01-18 10:24:00,
22000,"Budget 2023: Expect to see stability in tax regime, says Prateek Agrawal, MOAMC",2023-01-23 12:23:00,
22001,Chemical stock jumps 120% since Dec 1 despite Sensex dipping 3000 pts from peak,2023-01-18 09:04:00,
22002,"Hang Seng turns flavour for FIIs, jumps 50% in under 8 weeks",2023-01-18 08:45:00,
22003,This Indian IT stock's target price raised by Jefferies on strong Q3 beat,2023-01-18 08:33:00,
22004,32 PMS schemes give double-digit returns in 2022,2023-01-18 09:00:00,
22005,Quant Mutual Fund buys stake in this multibagger stock in December 2022,2023-01-18 07:50:00,
22006,Delta Corp added to list of 5 stocks under F&O ban on NSE today,2023-01-18 07:45:00,
22007,"Stocks to Watch: ITC, BoI, ICICI Prudential, ICICI Lombard, Adani Ent, Nalco",2023-01-18 07:25:00,
22008,"Wall Street investment banking slammed, as execs hope for more confidence ahead",2023-01-18 07:18:00,
22009,Day trading guide for today: 6 stocks to buy or sell on Wednesday ��� 18th January,2023-01-18 06:07:00,
22010,Zerodha founder's pitch to FinMin to make 'wealthiest' NRIs invest in Indian mkt,2023-01-17 22:53:00,
22011,"After rallying over 1800% in 3 years, this stock going to declare stock split",2023-01-17 22:43:00,
22013,Bonds over stocks: The new 60-40 portfolio,2023-01-17 21:28:00,
22014,"Navratna company Nalco declares interim dividend, stock ended on a green note",2023-01-17 20:37:00,
22015,Penny stock hit 5% upper circuit as Board declares interim dividend,2023-01-17 19:34:00,
22016,"IT stock ended on a red note as PAT drops 20% in Q3, 140% dividend declared",2023-01-17 18:36:00,
22017,"In run-up to Budget, markets may see sector-specific moves",2023-01-17 17:21:00,
22018,"Broking company Angel One declares Rs. 9.60 per share dividend, PAT up 39% in Q3",2023-01-17 16:52:00,
22019,"Markets end higher, thanks to windfall tax cut; Sensex, Nifty gain 1%",2023-01-17 16:50:00,
22020,Bajaj Finance stock: Death at a Funeral,2023-01-17 16:45:00,
22021,Multibagger SME IPO sets record date for 1:10 stock split and 11:4 bonus shares,2023-01-17 19:39:00,
22022,Sebi proposes separating brokers from investors' money,2023-01-17 15:35:00,
22023,Penny stock gains over 3% as its R&D division collaborates with Saudi University,2023-01-17 15:32:00,
22024,Five fundamental stock picks for you to look at amid uncertain times,2023-01-17 15:00:00,
22025,"Top 5 stock holdings of HDFC, SBI, Axis MFs. Details inside",2023-01-17 14:14:00,
22027,"Multibagger hotel stock rallies to hit record high, up 170% in a year",2023-01-17 12:53:00,
22028,FIIs selling bothers market's near term outlook. What's best investment strategy,2023-01-17 12:30:00,
22030,Predicting the stock market movement from facial expression of traders,2023-01-17 11:29:00,
22031,"'Time to invest in fixed income portfolios, lock in yields in govt securities'",2023-01-17 11:21:00,
22032,HCL Tech turns ex-dividend today: Payment and other details here,2023-01-19 08:55:00,
22033,"Adani Ent share price trades lower despite  ���20,000-crore FPO buzz",2023-01-17 10:13:00,
22034,'Uncertain times ahead..': Jefferies on Indian IT companies,2023-01-17 09:17:00,
22035,"PSU Bank stocks' valuations attractive, Motilal Oswal names 3 top picks",2023-01-17 07:57:00,
22036,Federal Bank share price target raised on strong Q3. What brokerages recommend,2023-01-17 07:57:00,
22037,FTSE 100 in sight of record high as financial stocks gain,2023-01-17 07:41:00,
22038,"Stocks to Watch: ONGC, NTPC, Siemens, Dabur, Paytm, BoM",2023-01-17 07:28:00,
22039,"Day trading guide for Tuesday: Wipro, SAIL among 5 stocks to buy today���17th Jan",2023-01-17 06:55:00,
22040,ICICI Securities sees strong gain for this Navratna stock in 3 months of holding,2023-01-16 22:15:00,
22041,Penny stock with strong FII holding got DSIR recognition for in-house R&D units,2023-01-16 21:39:00,
22042,Sojitz Corp likely to sell 1.6% stake in Samvardhana Motherson via block deal,2023-01-16 21:35:00,
22043,Indian stock market to shift to a shorter trading cycle T+1 settlement on Jan 27,2023-01-17 14:17:00,
22044,"This stock hit 5% upper circuit as Board declares 13:10 bonus share, stock split",2023-01-16 19:03:00,
22045,"BSE Small cap stock up over 120% in 1 year, record date fixed for stock split",2023-01-16 17:44:00,
22046,"Nifty, Sensex end in the red as foreign investors continue to sell",2023-01-16 16:30:00,
22048,This below  ���100 L&T Group stock hits 52-week high post Q3 results,2023-01-16 11:39:00,
22050,Why Infosys share price could still rise another 14%,2023-01-16 10:47:00,
22051,Why Sula Vineyards shares today posted their biggest one-day gain since listing,2023-01-16 10:34:00,
22053,TCS shares trade ex-dividend post declaring special dividend; stock rises,2023-01-16 09:18:00,
22054,Multibagger SME IPO: Small-cap stock gives 300% return to allottees in 3 months,2023-01-16 09:13:00,
22055,"HDFC Bank shares a long-term 'Buy', analysts bullish post Q3",2023-01-16 09:20:00,
22056,HDFC Bank to Tata Steel: IIFL Securities recommends these 5 stocks for this week,2023-01-16 13:40:00,
22057,"Asian shares cautious, BOJ faces crunch policy decision",2023-01-16 07:47:00,
22058,"Stocks to Watch: HDFC Bank, Wipro, TCS, Sun Pharma, DMart, L&T Finance",2023-01-16 07:31:00,
22059,Buy or sell: Vaishali Parekh recommends 2 stocks to buy today ��� January 16,2023-01-16 06:42:00,
22060,Day trading guide for today: 5 stocks to buy or sell on Monday ��� 16th January,2023-01-16 07:55:00,
22061,TCS to trade ex-dividend on Monday: Record and payment dates here,2023-01-16 06:35:00,
22062,"Multibagger IPO to be in focus tomorrow, Board to mull stock split, bonus shares",2023-01-15 18:36:00,
22064,"This power stock to turn ex-bonus this week, scrip is 131% up from 52-week-low",2023-01-15 17:15:00,
22065,"Multibagger stock to trade ex-split this week, scrip rallies over 800% in 1 year",2023-01-15 16:26:00,
22066,"Locked in 20% upper circuit, CDGS company declared over 13% jump in PAT",2023-01-15 15:46:00,
22067,Demat accounts rise 34% in December on attractive returns from equity markets,2023-01-15 12:59:00,
22068,Nifty week ahead: How the index may perform and what factors will drive it,2023-01-15 12:18:00,
22069,"Mcap of 7 of top-10 most valued firms jump over  ���1 lakh cr; TCS, Infosys shine",2023-01-15 11:10:00,
22071,"Markets week ahead: Major Q3 earnings, WPI, FIIs flow among key factors to watch",2023-01-15 10:06:00,
22073,Dividend paying stock: TCS to trade ex-dividend next week to pay  ���75 per scrip,2023-01-14 14:02:00,
22074,Dolly Khanna turns bearish on these multibagger textile stocks. Details here,2023-01-14 12:58:00,
22075,Budget 2023: Infra stocks to watch out for,2023-01-16 11:04:00,
22076,"Why European market rally may fuel TCS, Tata Motors share ��� explained",2023-01-14 07:44:00,
22077,Small cap FMCG stock declares record date for 1:1 rights issue,2023-01-13 23:01:00,
22078,"Falling inflation, global tailwinds boost markets",2023-01-13 23:37:00,
22079,Jhunjhunwala's portfolio: ICICI Securities is bullish on this Tata group stock,2023-01-13 20:09:00,
22080,"SME stock to declare bonus shares and stock split, scrip up by 500% in 1 year",2023-01-13 19:27:00,
22081,"Wipro's margins, PAT upbeat in Q3: How stock is likely to react post quarter",2023-01-13 18:38:00,
22082,"Aristo Biotech SME IPO to open next week. Check GMP, price and other details",2023-01-13 18:17:00,
22083,"Nearly 108 mn demat accounts added in December 2022, shows data",2023-01-13 17:47:00,
22084,Multibagger stock hit fresh 52-week-high as Board approves stock split,2023-01-13 17:31:00,
22085,Jefferies Christopher Wood explains why Indian stock markets are underperforming,2023-01-16 11:05:00,
22086,L&T Tech share price falls over 5% after SWC acquisition announcement,2023-01-13 18:25:00,
22087,"Market gains after 3 days of losses as metal, PSU banks stocks race ahead",2023-01-13 16:27:00,
22088,BCL Industries announces to raise  ���201 Cr via 55 lakh convertible warrants,2023-01-13 16:06:00,
22090,Morgan Stanley buys Paytm shares despite stake sale by Alibaba,2023-01-13 14:04:00,
22091,Specialty chemical stock surges to highest level in 2 months since market debut,2023-01-13 13:56:00,
22092,Mutual funds' top stock buys for 3 consecutive months. Details inside,2023-01-13 13:33:00,
22095,Multibagger PSU stock rallies 13% in 3 trading sessions on order wins,2023-01-13 12:04:00,
22096,Mukul Agrawal buys stake in Suryoday Small Finance Bank. Details here,2023-01-13 11:21:00,
22097,���2.25 to  ���554: Multibagger penny stock turns  ���1 lakh to  ���2.46 cr in 2 yr,2023-01-16 06:59:00,
22098,Porinju Veliyath buys stake in this below  ���100 small-cap stock in Q3,2023-01-13 08:55:00,
22099,"Cement sector outlook positive, Ultratech among top 3 picks by Motilal Oswal",2023-01-13 08:21:00,
22100,Wall Street ends up as data suggests inflation may be on downward trend,2023-01-13 07:54:00,
22101,Rekha Jhunjhunwala raises stake in this Tata group stock in Q3FY23,2023-01-13 07:35:00,
22102,"Stocks to Watch: Infosys, HCL Tech, PVR, Inox, Cyient, Shriram Fin, Zee Ent",2023-01-13 07:29:00,
22103,Buy or sell: Vaishali Parekh recommends 2 stocks to buy today ��� January 13,2023-01-13 06:50:00,
22104,Day trading guide for today: 4 stocks to buy or sell on Friday ��� 13th January,2023-01-13 05:55:00,
