,Date,Headline,Symbol,Company Name
0,"23 Feb 2023, 12:33 PM IST", itc share price today surges to all time high  gains 16  in a month ,itc,itc
1,"Feb 23, 2023, 07:00 PM IST", fitch affirms rating on adani transmission s restricted group notes at  bbb    outlook stable ,adanitrans,adani transmission
2,"February 23, 2023 03:13 PM IST", tn hari writes  salary cuts on wipro freshers unjust  but unionisation and minimum wages no solution ,wipro,wipro
3,"Feb 23, 2023, 08:06 PM IST", trading guide  tata motors among 4  stock recommendations for friday ,tatamotors,tata motors
4,"Feb 23, 2023, 03:47 PM IST", sensex falls 139 pts  nifty holds 17 500  adani power sheds 5  ,adanipower,adani power
5,"Feb 23, 2023, 07:43 PM IST", samvardhana motherson s acquisition of sas neutral for its rating  fitch ,motherson,samvardhana motherson international
6,"23 Feb 2023, 10:50 AM IST", nmdc steel shares fall today post back to back upper circuit since listing  buy  ,nmdc,nmdc
7,"February 23, 2023 03:18 PM IST", ipef  india should trade cautiously on the clean economy pillar ,clean,clean science technology
8,"February 23, 2023 11:23 AM IST", hg infra gains on winning rs 466 crore rvnl project ,rvnl,rail vikas nigam
9,"23 Feb 2023, 07:51 PM IST", sanofi india declares   194 final dividend and   183 special dividend ,sanofi,sanofi india
10,"February 23, 2023 08:42 PM IST", sanofi india reports robust q4 performance with 45  yoy profit growth to rs 131cr and declares rs 377 per share dividend ,sanofi,sanofi india
11,"February 23, 2023 03:09 PM IST", finolex cables sees flag pattern breakout with 7  rally  hits 56 month high ,fincables,finolex cables
12,"23 Feb 2023, 08:50 AM IST", bse sensex may rise less in 2023 than expected  correction unlikely  poll ,bse,bse
13,"February 23, 2023 04:15 PM IST", equitas small finance bank forms long bullish candle  rallies for 5th straight day ,equitasbnk,equitas small finance bank
14,"February 23, 2023 04:15 PM IST", equitas small finance bank forms long bullish candle  rallies for 5th straight day ,equitas,equitas holdings
15,"23 Feb 2023, 08:12 AM IST", global markets  sgx nifty to us fed rate hike   key triggers for stock mkt today ,global,global education
16,"February 23, 2023 05:34 PM IST", volodymyr zelenskiy must rewrite russia s narrative in the global south ,global,global education
17,"23 Feb 2023, 03:56 PM IST", zee entertainment s punit goenka moves nclat against insolvency order ,goenka,goenka diamond jewels
