,Headline,Date,Symbol,Company Name
0, stocks to watch  adani group  l t  techm  reliance ind  rec  bpcl ,"31 Jan 2023, 07:27 AM IST",reliance,reliance industries
1, lotus chocolate hits upper circuit as reliance makes open offer to buy stake ,"06 Jan 2023, 03:11 PM IST",reliance,reliance industries
2, mcap of eight of top 10 firms jumps   1 35 lakh cr  sbi  reliance major winners ,"01 Jan 2023, 10:20 AM IST",reliance,reliance industries
3, lotus chocolate hits upper circuit as reliance retail to buy majority stake ,"30 Dec 2022, 12:15 PM IST",reliance,reliance industries
4, mcap of 10 most valued firms erodes by   1 68 lakh cr  reliance biggest drag ,"25 Dec 2022, 10:34 AM IST",reliance,reliance industries
5, what s making icici securities see a new 52 week high for reliance industries  ,"24 Dec 2022, 11:40 PM IST",reliance,reliance industries
6, stocks to watch  landmark cars  abans holdings  reliance  yes bank  jk cement ,"23 Dec 2022, 07:28 AM IST",reliance,reliance industries
7, stocks to watch  sula vineyards  reliance  paytm  adani ent  bandhan bank ,"22 Dec 2022, 07:33 AM IST",reliance,reliance industries
8, day trading guide  reliance  federal bank to hdfc bank   6 stocks to buy today ,"20 Dec 2022, 06:02 AM IST",reliance,reliance industries
9, stocks to watch  wipro  hpcl  reliance  adani ports  shriram transport  zee ," 16 Dec 2022, 07:36 AM IS",reliance,reliance industries
10, reliance hit most as top 5 out of 10 firms lose   1 67 lakh crore in m cap ,"11 Dec 2022, 03:15 PM IST",reliance,reliance industries
11, reliance industries creates most wealth for investors in last 5 years ,"09 Dec 2022, 01:08 PM IST",reliance,reliance industries
12, stocks to watch  kaynes technologies  nykaa  ndtv  jspl  reliance ," 22 Nov 2022, 01:20 PM IS",reliance,reliance industries
13, sbi   reliance  the king is dead  long live the king  ," 16 Nov 2022, 02:33 PM IS",reliance,reliance industries
14, stocks to watch  sbi  reliance  indigo  maruti  dr reddy s  powergrid ,"07 Nov 2022, 08:02 AM IST",reliance,reliance industries
15, stocks to watch  infosys  mindtree  reliance  hdfc life  tata steel ,"14 Oct 2022, 07:32 AM IST",reliance,reliance industries
16, stocks to watch  wipro  hcl  adani wilmar  reliance power  sail ,"13 Oct 2022, 07:32 AM IST",reliance,reliance industries
17, reliance power share jumps after blackrock fund buys stake ,"07 Oct 2022, 11:19 AM IST",reliance,reliance industries
18, stocks to watch  airtel  tcs  reliance  zee entertainment  maruti  hero motocorp ,"03 Oct 2022, 07:38 AM IST",reliance,reliance industries
19, mcap of 7 of top 10 firms lose   1 16 lakh crore  reliance industries worst hit ,"02 Oct 2022, 10:33 AM IST",reliance,reliance industries
20, stocks to watch  harsha engineers  kotak  reliance  ongc  coal india ,"26 Sep 2022, 07:37 AM IST",reliance,reliance industries
21, stocks to watch  adani ports  upl  tata power  bpcl  reliance  indusind bank ,"16 Sep 2022, 07:29 AM IST",reliance,reliance industries
22, stocks to watch  zee  adani transmission  reliance  tata consumer  vedanta ,"13 Sep 2022, 07:39 AM IST",reliance,reliance industries
23, stocks to watch  bank of baroda  paytm  spicejet  reliance  l t ,"05 Sep 2022, 07:36 AM IST",reliance,reliance industries
24, top defence stocks to bet on amid india s self reliance in defence manufacturing ,"02 Sep 2022, 10:38 AM IST",reliance,reliance industries
25, stocks to watch  reliance  nhpc  vodafone idea  ntpc  irctc ,"29 Aug 2022, 07:41 AM IST",reliance,reliance industries
26, stocks to watch  ongc  reliance  spicejet  itc  bpcl ,"19 Aug 2022, 07:29 AM IST",reliance,reliance industries
27, reliance industries shares trade ex dividend today  key things to know ,"18 Aug 2022, 09:32 AM IST",reliance,reliance industries
28, stocks to watch  ongc  lic  hdfc bank  reliance  infra  godrej industries ,"16 Aug 2022, 07:45 AM IST",reliance,reliance industries
29, reliance industries fixes record date for dividend for the fy 2021 22 ,"07 Aug 2022, 08:22 PM IST",reliance,reliance industries
30, stocks to watch  ongc  reliance  bank of india  adani green energy  itc ,"03 Aug 2022, 07:41 AM IST",reliance,reliance industries
31, how 5g spectrum win can drive reliance industries  stock ,"02 Aug 2022, 12:48 PM IST",reliance,reliance industries
32, stocks to watch  reliance  itc  zomato  union bank of india  upl ,"02 Aug 2022, 07:30 AM IST",reliance,reliance industries
33, stocks to watch  reliance  jsw steel  infosys  icici bank  yes bank ,"25 Jul 2022, 07:55 AM IST",reliance,reliance industries
34, stocks to watch  bank of maharashtra  heidelbergcement  reliance  ntpc ,"19 Jul 2022, 07:36 AM IST",reliance,reliance industries
35, stocks to watch  titan  bharti airtel  reliance  equitas sfb  power grid ,"07 Jul 2022, 07:42 AM IST",reliance,reliance industries
36, reliance share price tanks over 7   is this fall a good buying opportunity  ,"02 Jul 2022, 09:50 AM IST",reliance,reliance industries
37, stocks to watch  reliance industries  m m  lic  coal india  bpcl  jindal steel ,"13 Jun 2022, 07:55 AM IST",reliance,reliance industries
38, stocks to watch  reliance industries  hdfc  banks  iifl finance  bajaj auto ,"10 Jun 2022, 07:46 AM IST",reliance,reliance industries
39, reliance industries shares inch closer to record high  should you accumulate  ,"03 Jun 2022, 11:51 AM IST",reliance,reliance industries
40, stocks to watch  nhpc  reliance  yes bank  eicher motors ,"02 Jun 2022, 07:34 AM IST",reliance,reliance industries
41, reliance industries shares post biggest one day gain in 18 months ,"20 May 2022, 03:33 PM IST",reliance,reliance industries
42, stocks to watch  reliance industries  hcl tech  lti  mindtree  tata power ,"09 May 2022, 08:15 AM IST",reliance,reliance industries
43, reliance industries shares at record high  market cap crosses   19 lakh crore ,"27 Apr 2022, 10:11 AM IST",reliance,reliance industries
44, stocks to watch  icici bank  hdfc bank  reliance  railtel ,"25 Apr 2022, 07:50 AM IST",reliance,reliance industries
45, reliance shares to fii s behaviour  top 5 triggers for stock market this week ,"24 Apr 2022, 07:02 AM IST",reliance,reliance industries
46, reliance industries  firing on all cylinders  as stock hits new high ,"21 Apr 2022, 02:26 PM IST",reliance,reliance industries
47, reliance industries shares surge  less than   100 away from all time high ,"19 Apr 2022, 02:14 PM IST",reliance,reliance industries
48, sensex trades flat  tata steel  reliance  sbi among top gainers ,"19 Apr 2022, 11:23 AM IST",reliance,reliance industries
49, stocks to watch  tata motors  hdfc bank  reliance  m m ,"04 Apr 2022, 07:39 AM IST",reliance,reliance industries
50, stocks to watch  future retail  vedanta  ongc  reliance ,"01 Apr 2022, 08:54 AM IST",reliance,reliance industries
51, stocks to watch  axis bank  reliance  tata steel  godrej properties ,"31 Mar 2022, 07:47 AM IST",reliance,reliance industries
52, stocks to watch  reliance industries  axis bank  kotak mahindra bank  omcs ,"25 Mar 2022, 07:56 AM IST",reliance,reliance industries
53, stocks to watch  reliance industries  future retail  aurobindo pharma  sbi ,"21 Mar 2022, 07:28 AM IST",reliance,reliance industries
