,Headline,Date
0,Sanofi India declares  ₹194 final dividend and  ₹183 special dividend,"23 Feb 2023, 07:51 PM IST"
1,"FIIs pull out  ₹1,417 cr, biggest selling of the week; DIIs offset losses","23 Feb 2023, 06:24 PM IST"
2,"Low D/E and P/B ratio stock declares 1:5 stock split, promoter stake up in Q3","23 Feb 2023, 06:19 PM IST"
3,F&O: Nifty February futures index close broadly flat against Nifty 50 on expiry,"23 Feb 2023, 05:26 PM IST"
4,SME stock sets record date for 11:4 bonus shares and 1:10 stock split,"23 Feb 2023, 05:21 PM IST"
5,"Bears push Sensex, Nifty down 3% in 5 sessions; banking stocks recover","23 Feb 2023, 05:05 PM IST"
6,Multibagger stock revises record date for 2:1 bonus shares and 1:10 stock split,"23 Feb 2023, 04:08 PM IST"
7,Zee Entertainment's Punit Goenka moves NCLAT against insolvency order,"23 Feb 2023, 03:56 PM IST"
8,Is Zee really insolvent? Options in hand for co to stall insolvency proceedings,"23 Feb 2023, 03:03 PM IST"
9,"In this high volatile market, experts suggest to allocate money in these sectors","23 Feb 2023, 01:46 PM IST"
10,NSE receives final approval to launch Social Stock Exchange as separate segment,"23 Feb 2023, 01:22 PM IST"
11,"NSE restricts traders from using 61 words like mutual funds, advisor. Read here","23 Feb 2023, 12:47 PM IST"
12,SpiceJet stock down by 1% over stake sale news,"23 Feb 2023, 12:29 PM IST"
13,"ITC share price today surges to all-time high, gains 16% in a month","23 Feb 2023, 12:33 PM IST"
14,NMDC Steel shares fall today post back-to-back upper circuit since listing: Buy?,"23 Feb 2023, 10:50 AM IST"
15,Listing the unlisted: 5 popular unlisted companies to watch out for,"23 Feb 2023, 10:30 AM IST"
16,"Sensex, Nifty outlook: A piece of advise for investors in current mkt turbulence","23 Feb 2023, 10:18 AM IST"
17,Zee Entertainment down by 7% as NCLT admits IndusInd's insolvency plea,"23 Feb 2023, 10:48 AM IST"
18,"BSE Sensex may rise less in 2023 than expected, correction unlikely: Poll","23 Feb 2023, 08:50 AM IST"
19,Global markets: SGX Nifty to US Fed rate hike — key triggers for stock mkt today,"23 Feb 2023, 08:12 AM IST"
20,US stocks open higher as Nvidia offsets Fed jitters,"Feb 23, 2023, 08:20 PM IST"
21,Trading Guide: Tata Motors among 4  stock recommendations for Friday,"Feb 23, 2023, 08:06 PM IST"
22,Samvardhana Motherson's acquisition of SAS neutral for its rating: Fitch,"Feb 23, 2023, 07:43 PM IST"
23,SAT reduces Sebi's penalty on Zenith Birla to Rs 25 lakh in GDR manipulation case,"Feb 23, 2023, 07:26 PM IST"
24,U.S. weekly jobless claims fall ; fourth-quarter growth trimmed,"Feb 23, 2023, 07:21 PM IST"
25,Fitch affirms rating on Adani Transmission's restricted group notes at 'BBB-'; outlook stable,"Feb 23, 2023, 07:00 PM IST"
26,6 small-cap stocks scale new 52-week highs with up to 50% monthly gains,"Feb 23, 2023, 07:09 PM IST"
27,Explainer: NSE gets nod to launch social stock exchange. What is it and how does it work?,"Feb 23, 2023, 06:40 PM IST"
28,"Adani Stock Rout: LIC staring at loss in Rs 30,000-crore bet","Feb 23, 2023, 06:44 PM IST"
29,Eight Adani Group firms end lower; some hit lower circuit limits during the day,"Feb 23, 2023, 06:35 PM IST"
30,Market trading hour extension can reverse trade drain. Here's why,"Feb 23, 2023, 08:23 PM IST"
31,Tech View: Nifty ends Feb series with a red candle. What traders should do on Friday,"Feb 23, 2023, 05:21 PM IST"
32,"Sensex falls 139 pts, Nifty holds 17,500; Adani Power sheds 5%","Feb 23, 2023, 03:47 PM IST"
33,"Sensex extends losses to 5th session, ends 139 pts lower; Nifty below 17,550","Feb 23, 2023, 03:58 PM IST"
34,Hotel industry sees strong Q3. What should investors do?,"Feb 23, 2023, 03:24 PM IST"
35,$100 bn credit offtake by PSU banks likely as cash balances with RBI higher than pvt banks,"Feb 23, 2023, 02:52 PM IST"
36,Sanofi India reports robust Q4 performance with 45% YoY profit growth to Rs 131cr and declares Rs 377 per share dividend,"February 23, 2023 08:42 PM IST"
37,SEBI's consultation paper mulls increasing skin in the game for underwriters,"February 23, 2023 08:30 PM IST"
38,MC A10 Index slips nearly 2% due to selling in energy stocks,"February 23, 2023 07:23 PM IST"
39,Volodymyr Zelenskiy must rewrite Russia’s narrative in the global south,"February 23, 2023 05:34 PM IST"
40,Price hikes are changing the game for diagnostic cos; here's how analysts see it,"February 23, 2023 05:17 PM IST"
41,"Technical View | Nifty sinks to 4-month low, 17,500 is the level to watch","February 23, 2023 05:16 PM IST"
42,"US Fed, RBI make markets smell the coffee on policy rates","February 23, 2023 04:58 PM IST"
43,Taking Stock | Market falls for 5th straight day as rate-hike worries persist,"February 23, 2023 05:53 PM IST"
44,"Equitas Small Finance Bank forms long bullish candle, rallies for 5th straight day","February 23, 2023 04:15 PM IST"
45,Gainers & Losers: 10 stocks that moved the most on February 23,"February 23, 2023 04:07 PM IST"
46,Zee Entertainment files appeal in NCLAT seeking relief from insolvency proceedings; stock recovers,"February 23, 2023 03:35 PM IST"
47,IPEF: India should trade cautiously on the clean economy pillar,"February 23, 2023 03:18 PM IST"
48,"Finolex Cables sees Flag pattern breakout with 7% rally, hits 56-month high","February 23, 2023 03:09 PM IST"
49,"TN Hari writes: Salary cuts on Wipro freshers unjust, but unionisation and minimum wages no solution","February 23, 2023 03:13 PM IST"
50,Elevated Jan inflation may push MPC to vote for 25 bps hike: Radhika Rao of DBS Bank,"February 23, 2023 02:44 PM IST"
51,"Moneycontrol Pro Panorama | Fed and RBI on the same page, more rate hikes likely","February 23, 2023 03:11 PM IST"
52,NSE gets the final Sebi approval to launch Social Stock Exchange,"February 23, 2023 01:31 PM IST"
53,Commodities Live: Steel hits 7-month high; Copper scales 3-week peak,"February 23, 2023 01:23 PM IST"
54,One year of Russia's Ukraine invasion: Both countries will rue last April’s failed peace talks,"February 23, 2023 12:57 PM IST"
55,Revival of listings in New York in doubt as Beijing overhauls rules on foreign share sales,"February 23, 2023 12:21 PM IST"
56,"Market LIVE: Nifty in green on F&O expiry day; FMCG, IT top gainers | Mid-day Mood Check","February 23, 2023 12:16 PM IST"
57,"Jefferies turns cautious on chemicals sector on steep valuations, demand headwinds","February 23, 2023 12:25 PM IST"
58,"One year of Ukraine war: Bulls brush off Russian belligerence with aplomb; Powell, not Putin, key overhang","February 23, 2023 01:05 PM IST"
59,HG Infra gains on winning Rs 466-crore RVNL project,"February 23, 2023 11:23 AM IST"
60,Power Grid shares gain as JP Morgan sees 18% upside in stock,"February 23, 2023 11:05 AM IST"
