,Headline,Date
0,Sebi to control unsolicited fin market advise from social media influencers,"February 24, 2023, Friday"
1,"Sebi pitches change in rules for REITs, InvITs; sponsors to own some units","February 24, 2023, Friday"
2,Sri Lanka's body approves renewable energy projects of Adani group,"February 24, 2023, Friday"
3,Sebi likely to scrap small town-linked incentive for mutual funds,"February 24, 2023, Friday"
4,Indices post biggest weekly decline since June; Sensex falls 2.5%,"February 24, 2023, Friday"
5,A month after Hindenburg report: It's business as unusual for Adani Group,"February 24, 2023, Friday"
6,SpiceJet soars 15% as net profit jumps five-fold to Rs 107 crore in Q3,"February 24, 2023, Friday"
7,"Counting on RBI support, offshore investors build rupee crosses positions","February 24, 2023, Friday"
8,GAIL India rallies 5% in weak market; hits 8-month high on heavy volumes,"February 24, 2023, Friday"
9,NSE Indices launches country's first ever Nifty India Municipal Bond Index,"February 24, 2023, Friday"
10,"Olectra, in partnership with RIL, unveils hydrogen bus; stock zooms 20%","February 24, 2023, Friday"
11,Risks to the market rally are rising; oil stocks a good bet: Chris Wood,"February 24, 2023, Friday"
12,Mahindra CIE rallies 9% to hit 52-week high on positive demand outlook,"February 24, 2023, Friday"
13,How to trade Zee Entertainment as NCLT places it under insolvency process,"February 24, 2023, Friday"
14,LIC's investment in Adani Group stocks now stands close to cost: Report,"February 24, 2023, Friday"
15,PolicyBazaar hits over 5-month high; surges 30% thus far in February,"February 24, 2023, Friday"
16,Jindal Stainless (Hisar) fixes record date for merger with JSL; stock up 3%,"February 24, 2023, Friday"
17,Mahindra Lifespace tumbles 8% after MD & CEO tenders resignation,"February 24, 2023, Friday"
18,"Siemens scaling new heights on strong performance, govt's infra thrust","February 24, 2023, Friday"
19,"Bear run enters sixth day as Sensex fall 142 pts, Nifty near 17,450","February 24, 2023, Friday"
20,"Stocks to watch: Axis Bank, Zee Ent, SpiceJet, RIL, Bharat Forge, Alkem Lab","February 24, 2023, Friday"
21,"Sensex, Nifty extend losses into fifth session on rate hike fears","February 23, 2023, Thursday"
22,Companies disclosing ESG data report nearly 15% increase in scores,"February 23, 2023, Thursday"
23,"Despite NCLT setback, analysts remain positive on Zee Entertainment","February 23, 2023, Thursday"
24,"With IPOs losing steam, Sebi steps in with hard underwriting move","February 23, 2023, Thursday"
25,Sebi plans to make registration mandatory for ESG rating providers,"February 23, 2023, Thursday"
26,61 words that NSE doesn't want traders to use without proper registration,"February 23, 2023, Thursday"
27,NSE gets Sebi approval to launch Social Stock Exchange as separate segment,"February 23, 2023, Thursday"
28,Shipping Corporation soars 10% on govt's approval to demerger plan,"February 23, 2023, Thursday"
29,"ITC up 2%, hits record high; stock gallops over 19% from Budget Day low","February 23, 2023, Thursday"
30,HG Infra rises 4% on Rs 535 cr-order win from RVNL; stock up 30% in 3 mths,"February 23, 2023, Thursday"
31,"LIC Housing Finance, HDFC: Trading strategies for housing finance companies","February 23, 2023, Thursday"
32,RateGain Travel up 4% after it inks pact with cloud-based property platform,"February 23, 2023, Thursday"
33,Sandur Manganese zooms 11% on approval to increase production,"February 23, 2023, Thursday"
34,Zee Entertainment tanks 14% as NCLT admits company to insolvency resolution,"February 23, 2023, Thursday"
35,"Amid record aircraft orders, aviation remains a long-term play: Analysts","February 23, 2023, Thursday"
36,Exchanges reclassify Sameer Gehlaut's stake as 'public'; stock falls 5%,"February 23, 2023, Thursday"
37,Sonata Software jumps over 4% on acquiring US-based Quant Systems,"February 23, 2023, Thursday"
38,"Nifty holds 17,500, ends Feb F&O series 2% down; Sensex drops 139 pts","February 23, 2023, Thursday"
39,"Stocks to Watch: Adani Green, Sonata Software, HG Infra, Zee Entertainment","February 23, 2023, Thursday"
40,Sebi proposes to tighten regulations on issuance of bonus shares,"February 22, 2023, Wednesday"
41,Sensex sees worst day in two months on US Fed interest rate fears,"February 22, 2023, Wednesday"
42,Debt funds may again draw investors' attention as yields improve,"February 22, 2023, Wednesday"
43,Sebi beefs up cybersecurity measures for regulated intermediaries,"February 22, 2023, Wednesday"
44,"No respite for Adani Group firms from market carnage, loses over $140 bn","February 22, 2023, Wednesday"
45,Investors should remain upbeat on cement sector; price hike is a positive,"February 22, 2023, Wednesday"
46,"Treasury Bill yields soar over tighter liquidity, inflation worries","February 22, 2023, Wednesday"
47,"M-cap ranking: India worst-performing in 2023, United Kingdom now sixth","February 22, 2023, Wednesday"
