,Text,Date,Sentiment,Tok_text
0,Sebi to control unsolicited fin market advise from social media influencers,2023-02-24 00:00:00,1,sebi control unsolicited fin market advise social media influencers
1,"Sebi pitches change in rules for REITs, InvITs; sponsors to own some units",2023-02-24 00:00:00,1,sebi pitches change rules reits invits sponsors units
2,Sri Lanka's body approves renewable energy projects of Adani group,2023-02-24 00:00:00,1,sri lanka body approves renewable energy projects adani group
3,Sebi likely to scrap small town-linked incentive for mutual funds,2023-02-24 00:00:00,1,sebi likely scrap small town linked incentive mutual funds
4,Indices post biggest weekly decline since June; Sensex falls 2.5%,2023-02-24 00:00:00,-1,indices post biggest weekly decline june sensex falls 
5,A month after Hindenburg report: It's business as unusual for Adani Group,2023-02-24 00:00:00,-1,month hindenburg report business unusual adani group
6,SpiceJet soars 15% as net profit jumps five-fold to Rs 107 crore in Q3,2023-02-24 00:00:00,1,spicejet soars net profit jumps fold rs crore 
7,"Counting on RBI support, offshore investors build rupee crosses positions",2023-02-24 00:00:00,1,counting rbi support offshore investors build rupee crosses positions
8,GAIL India rallies 5% in weak market; hits 8-month high on heavy volumes,2023-02-24 00:00:00,1,gail india rallies weak market hits month high heavy volumes
9,NSE Indices launches country's first ever Nifty India Municipal Bond Index,2023-02-24 00:00:00,1,nse indices launches country nifty india municipal bond index
10,"Olectra, in partnership with RIL, unveils hydrogen bus; stock zooms 20%",2023-02-24 00:00:00,1,olectra partnership ril unveils hydrogen bus stock zooms 
11,Risks to the market rally are rising; oil stocks a good bet: Chris Wood,2023-02-24 00:00:00,-1,risks market rally rising oil stocks good bet chris wood
12,Mahindra CIE rallies 9% to hit 52-week high on positive demand outlook,2023-02-24 00:00:00,1,mahindra cie rallies hit week high positive demand outlook
13,How to trade Zee Entertainment as NCLT places it under insolvency process,2023-02-24 00:00:00,-1,trade zee entertainment nclt places insolvency process
14,LIC's investment in Adani Group stocks now stands close to cost: Report,2023-02-24 00:00:00,1,lic investment adani group stocks stands close cost report
15,PolicyBazaar hits over 5-month high; surges 30% thus far in February,2023-02-24 00:00:00,1,policybazaar hits month high surges far february
16,Jindal Stainless (Hisar) fixes record date for merger with JSL; stock up 3%,2023-02-24 00:00:00,1,jindal stainless hisar fixes record date merger jsl stock 
17,Mahindra Lifespace tumbles 8% after MD & CEO tenders resignation,2023-02-24 00:00:00,-1,mahindra lifespace tumbles md ceo tenders resignation
18,"Siemens scaling new heights on strong performance, govt's infra thrust",2023-02-24 00:00:00,1,siemens scaling new heights strong performance govt infra thrust
19,"Bear run enters sixth day as Sensex fall 142 pts, Nifty near 17,450",2023-02-24 00:00:00,-1,bear run enters sixth day sensex fall pts nifty near 
20,"Stocks to watch: Axis Bank, Zee Ent, SpiceJet, RIL, Bharat Forge, Alkem Lab",2023-02-24 00:00:00,1,stocks watch axis bank zee ent spicejet ril bharat forge alkem lab
21,"Sensex, Nifty extend losses into fifth session on rate hike fears",2023-02-23 00:00:00,-1,sensex nifty extend losses fifth session rate hike fears
22,Companies disclosing ESG data report nearly 15% increase in scores,2023-02-23 00:00:00,1,companies disclosing esg data report nearly increase scores
23,"Despite NCLT setback, analysts remain positive on Zee Entertainment",2023-02-23 00:00:00,1,despite nclt setback analysts remain positive zee entertainment
24,"With IPOs losing steam, Sebi steps in with hard underwriting move",2023-02-23 00:00:00,-1,ipos losing steam sebi steps hard underwriting 
25,Sebi plans to make registration mandatory for ESG rating providers,2023-02-23 00:00:00,0,sebi plans registration mandatory esg rating providers
26,61 words that NSE doesn't want traders to use without proper registration,2023-02-23 00:00:00,0, words nse doesn want traders use proper registration
27,NSE gets Sebi approval to launch Social Stock Exchange as separate segment,2023-02-23 00:00:00,1,nse gets sebi approval launch social stock exchange separate segment
28,Shipping Corporation soars 10% on govt's approval to demerger plan,2023-02-23 00:00:00,-1,shipping corporation soars govt approval demerger plan
29,"ITC up 2%, hits record high; stock gallops over 19% from Budget Day low",2023-02-23 00:00:00,1,itc hits record high stock gallops budget day low
30,HG Infra rises 4% on Rs 535 cr-order win from RVNL; stock up 30% in 3 mths,2023-02-23 00:00:00,1,hg infra rises rs cr order win rvnl stock mths
31,"LIC Housing Finance, HDFC: Trading strategies for housing finance companies",2023-02-23 00:00:00,0,lic housing finance hdfc trading strategies housing finance companies
32,RateGain Travel up 4% after it inks pact with cloud-based property platform,2023-02-23 00:00:00,1,rategain travel inks pact cloud based property platform
33,Sandur Manganese zooms 11% on approval to increase production,2023-02-23 00:00:00,1,sandur manganese zooms approval increase production
34,Zee Entertainment tanks 14% as NCLT admits company to insolvency resolution,2023-02-23 00:00:00,1,zee entertainment tanks nclt admits company insolvency resolution
35,"Amid record aircraft orders, aviation remains a long-term play: Analysts",2023-02-23 00:00:00,0,amid record aircraft orders aviation remains long term play analysts
36,Exchanges reclassify Sameer Gehlaut's stake as 'public'; stock falls 5%,2023-02-23 00:00:00,-1,exchanges reclassify sameer gehlaut stake public stock falls 
37,Sonata Software jumps over 4% on acquiring US-based Quant Systems,2023-02-23 00:00:00,1,sonata software jumps acquiring based quant systems
38,"Nifty holds 17,500, ends Feb F&O series 2% down; Sensex drops 139 pts",2023-02-23 00:00:00,0,nifty holds ends feb o series sensex drops pts
39,"Stocks to Watch: Adani Green, Sonata Software, HG Infra, Zee Entertainment",2023-02-23 00:00:00,1,stocks watch adani green sonata software hg infra zee entertainment
40,Sebi proposes to tighten regulations on issuance of bonus shares,2023-02-22 00:00:00,0,sebi proposes tighten regulations issuance bonus shares
41,Sensex sees worst day in two months on US Fed interest rate fears,2023-02-22 00:00:00,-1,sensex sees worst day months fed interest rate fears
42,Debt funds may again draw investors' attention as yields improve,2023-02-22 00:00:00,0,debt funds draw investors attention yields improve
43,Sebi beefs up cybersecurity measures for regulated intermediaries,2023-02-22 00:00:00,1,sebi beefs cybersecurity measures regulated intermediaries
44,"No respite for Adani Group firms from market carnage, loses over $140 bn",2023-02-22 00:00:00,-1,respite adani group firms market carnage loses bn
45,Investors should remain upbeat on cement sector; price hike is a positive,2023-02-22 00:00:00,1,investors remain upbeat cement sector price hike positive
46,"Treasury Bill yields soar over tighter liquidity, inflation worries",2023-02-22 00:00:00,-1,treasury bill yields soar tighter liquidity inflation worries
47,"M-cap ranking: India worst-performing in 2023, United Kingdom now sixth",2023-02-22 00:00:00,-1,m cap ranking india worst performing united kingdom sixth
48,Cyient hits 52-week high on pact with Thingtrax; stock surges 7% in 3 days,2023-02-22 00:00:00,1,cyient hits week high pact thingtrax stock surges days
49,Sensex crashes over 900 points: Top 4 factors behind a wobbly Wednesday,2023-02-22 00:00:00,-1,sensex crashes points factors wobbly wednesday
50,"Real estate shares weak; Godrej Properties, DLF, Mahindra Life shed 3% each",2023-02-22 00:00:00,-1,real estate shares weak godrej properties dlf mahindra life shed 
51,Adani group shares extend fall; Adani Total Gas tanks 79% in one month,2023-02-22 00:00:00,-1,adani group shares extend fall adani total gas tanks month
52,"Siemens, JSL: 9 stocks in Nifty 500 top new highs despite sluggish mood",2023-02-22 00:00:00,1,siemens jsl stocks nifty new highs despite sluggish mood
53,Shares of air-conditioner makers rally up to 7% amid heat wave alert,2023-02-22 00:00:00,1,shares air conditioner makers rally amid heat wave alert
54,CRISIL upgrades DB Power's rating after Adani Power calls off acquisition,2023-02-22 00:00:00,1,crisil upgrades db power rating adani power calls acquisition
55,"IRB Infra up 6%, nears 52-week high as stock trades ex-split in 1:10 ratio",2023-02-22 00:00:00,1,irb infra nears week high stock trades ex split ratio
56,"Chaman Lal, KRBL: Firm demand to keep rice shares steaming, say analysts",2023-02-22 00:00:00,1,chaman lal krbl firm demand rice shares steaming analysts
57,Triveni Turbine rises 2% to hit new high in weak market on strong outlook,2023-02-22 00:00:00,1,triveni turbine rises hit new high weak market strong outlook
58,"Sensex crashes 928 pts, ends below 60K; Nifty near 17,550 amid global rout",2023-02-22 00:00:00,-1,sensex crashes pts ends nifty near amid global rout
59,"Stocks to Watch: M&M, Reliance, Sapphire Foods, CE Info, BEL, Hind Zinc",2023-02-22 00:00:00,1,stocks watch m reliance sapphire foods ce info bel hind zinc
60,"Sensex, Nifty end lower in choppy trade, extend losses for third day",2023-02-21 00:00:00,-1,sensex nifty end lower choppy trade extend losses day
61,Sebi proposes change in governance norms to give more power to shareholders,2023-02-21 00:00:00,1,sebi proposes change governance norms power shareholders
62,Trading hours for interest rate derivatives extended till 5 pm by NSE,2023-02-21 00:00:00,0,trading hours interest rate derivatives extended till pm nse
63,Practice of permanent board seats at listed companies likely to end,2023-02-21 00:00:00,0,practice permanent board seats listed companies likely end
64,"Oil & gas, power form bulk of stocks sold by FPIs in first fortnight of Feb",2023-02-21 00:00:00,-1,oil gas power form bulk stocks sold fpis fortnight feb
65,"Indian jeweller Joyalukkas drops public listing plan, withdraws $278 mn IPO",2023-02-21 00:00:00,-1,indian jeweller joyalukkas drops public listing plan withdraws mn ipo
66,"BPCL, Tata Motors lead upgrades race after Q3, Zomato, ABFRL downgraded",2023-02-21 00:00:00,0,bpcl tata motors lead upgrades race zomato abfrl downgraded
67,"Jobs in small towns, gender diversity to earn India Inc better ESG ratings",2023-02-21 00:00:00,1,jobs small towns gender diversity earn india inc better esg ratings
68,"Freeze demat accounts of MDs and CEOs for non-compliance, says Sebi",2023-02-21 00:00:00,-1,freeze demat accounts mds ceos non compliance says sebi
69,Pantomath buys 37.2% in broking firm Asit C Mehta through subsidiary,2023-02-21 00:00:00,1,pantomath buys broking firm asit mehta subsidiary
70,"IRB Infra up 4% as it emerges preferred bidder for Rs 2,132 cr BOT project",2023-02-21 00:00:00,1,irb infra emerges preferred bidder rs cr bot project
71,This beaten down pharma stock has zoomed over 50% in last 11 trading days,2023-02-21 00:00:00,-1,beaten pharma stock zoomed trading days
72,Zen Technologies hits record high; up 35% in one month on robust Q3 results,2023-02-21 00:00:00,1,zen technologies hits record high month robust results
73,Minda Corp slips 9% in 3 days after it acquires 15.7% stake in Pricol,2023-02-21 00:00:00,-1,minda corp slips days acquires stake pricol
74,Power stocks surge as govt orders coal-based plants to run at full capacity,2023-02-21 00:00:00,1,power stocks surge govt orders coal based plants run capacity
75,Nifty Pharma dips to 7-mth low; bears may gain control if breaks 52-wk low,2023-02-21 00:00:00,-1,nifty pharma dips mth low bears gain control breaks wk low
76,Combined equity market value of 10 Adani Group firms slips below $100 bn,2023-02-21 00:00:00,-1,combined equity market value adani group firms slips bn
77,"BSE Capital Goods index nears record high; Siemens, L&T gain up to 3%",2023-02-21 00:00:00,1,bse capital goods index nears record high siemens t gain 
78,"Delhivery jumps 5%, gains 14% in seven straight days post Q3 results",2023-02-21 00:00:00,1,delhivery jumps gains seven straight days post results
79,Marine Electricals rallies 5% after it bags order from Goa Shipyard,2023-02-21 00:00:00,1,marine electricals rallies bags order goa shipyard
80,"Uflex drops 4%, hits 52-wk low on report of Income-Tax raid at Noida office",2023-02-21 00:00:00,-1,uflex drops hits wk low report income tax raid noida office
81,Adani Power hits fourth 5% upper circuit; No respite for Adani Green,2023-02-21 00:00:00,0,adani power hits fourth upper circuit respite adani green
82,"Sensex, Nifty end flat after volatile day; NTPC gains 3%, PSB index dips 2%",2023-02-21 00:00:00,-1,sensex nifty end flat volatile day ntpc gains psb index dips 
83,"Stocks to Watch: Asian Paints, Adani Green, JK Tyre, Tata Motors, GR Infra",2023-02-21 00:00:00,1,stocks watch asian paints adani green jk tyre tata motors gr infra
84,"Sensex, Nifty extend losses on lingering worries over interest rates",2023-02-20 00:00:00,-1,sensex nifty extend losses lingering worries interest rates
85,Sebi issues consultation paper on disclosure requirements for listed firms,2023-02-20 00:00:00,0,sebi issues consultation paper disclosure requirements listed firms
86,Good upside seen in Oil India stock; most analysts are positive,2023-02-20 00:00:00,1,good upside seen oil india stock analysts positive
87,Losing traction: BAFs' dream run halts even as equity market stays volatile,2023-02-20 00:00:00,0,losing traction bafs dream run halts equity market stays volatile
88,"State Bank of India issues Rs 4.5K-crore in AT1, half of the amount planned",2023-02-20 00:00:00,0,state bank india issues rs crore half planned
89,"Fresh bout of selling sees Adani m-cap go down by Rs 25,000 crore",2023-02-20 00:00:00,1,fresh bout selling sees adani cap rs crore
90,"Cera Sanitaryware soars 8%, hits new high in weak market on healthy outlook",2023-02-20 00:00:00,1,cera sanitaryware soars hits new high weak market healthy outlook
91,Lumax Auto soars 12% as it acquires majority stake in IAC Group's India biz,2023-02-20 00:00:00,1,lumax auto soars acquires majority stake iac group india biz
92,Stock bearing the brunt of Adani Group rout is at risk of more losses,2023-02-20 00:00:00,-1,stock bearing brunt adani group rout risk losses
93,"Charts indicate robust bias for RIL, ONGC amid GST inclusion hopes",2023-02-20 00:00:00,0,charts indicate robust bias ril ongc amid gst inclusion hopes
94,Sonata Software surges 26% in one month; stock nears record high,2023-02-20 00:00:00,1,sonata software surges month stock nears record high
95,NMDC's demerged Chhattisgarh unit hits 5% upper circuit on market debut,2023-02-20 00:00:00,1,nmdc demerged chhattisgarh unit hits upper circuit market debut
96,Samvardhana Motherson's SAS acquisition reasonably priced: Analysts,2023-02-20 00:00:00,1,samvardhana motherson sas acquisition reasonably priced analysts
97,Cipla dips 7% after Pithampur unit receives 8 USFDA observations,2023-02-20 00:00:00,-1,cipla dips pithampur unit receives usfda observations
98,"Banks, RIL drag Sensex 311 pts down, Nifty below 17,850; Adani Ent falls 6%",2023-02-20 00:00:00,-1,banks ril drag sensex pts nifty adani ent falls 
99,"Stocks to watch: HUL, United Breweries, Motherson, Sun Pharma, Paytm, Cipla",2023-02-20 00:00:00,1,stocks watch hul united breweries motherson sun pharma paytm cipla
100,"Street signs: Nifty Next 50 rebalance, home-grown tech stocks, and more",2023-02-20 00:00:00,0,street signs nifty rebalance home grown tech stocks 
101,Promoter share pledge rises to 1.61% in October-December quarter,2023-02-20 00:00:00,1,promoter share pledge rises october december quarter
102,"ArcelorMittal, JSW in NMDC steel plant race; JSPL also in the fray",2023-02-19 00:00:00,1,arcelormittal jsw nmdc steel plant race jspl fray
103,"Mutual funds' collection through NFO drops 38% to Rs 62,000 crore in 2022",2023-02-19 00:00:00,-1,mutual funds collection nfo drops rs crore 
104,"Global trends, foreign funds movement to guide equities this week",2023-02-19 00:00:00,0,global trends foreign funds movement guide equities week
105,"FPIs shift focus back on Indian market; invests Rs 7,600 cr in a week",2023-02-19 00:00:00,0,fpis shift focus indian market invests rs cr week
106,"Mcap of five of top-10 most valued firms jump Rs 95,337 cr last week",2023-02-19 00:00:00,1,mcap valued firms jump rs cr week
107,"NSE to include Adani Wilmar, Adani Power in few indices from March 31",2023-02-18 00:00:00,1,nse include adani wilmar adani power indices march 
108,Signs that Adani shock for India's $3.1 trn stock market is ebbing fast,2023-02-18 00:00:00,-1,signs adani shock india trn stock market ebbing fast
109,"Increase in trade volume 'market driven', says Adani Transmission",2023-02-17 00:00:00,0,increase trade volume market driven says adani transmission
