,Text,Date,Sentiment
0,Sebi to control unsolicited fin market advise from social media influencers,2023-02-24 00:00:00,1
1,"Sebi pitches change in rules for REITs, InvITs; sponsors to own some units",2023-02-24 00:00:00,1
2,Sri Lanka's body approves renewable energy projects of Adani group,2023-02-24 00:00:00,1
3,Sebi likely to scrap small town-linked incentive for mutual funds,2023-02-24 00:00:00,1
4,Indices post biggest weekly decline since June; Sensex falls 2.5%,2023-02-24 00:00:00,-1
5,A month after Hindenburg report: It's business as unusual for Adani Group,2023-02-24 00:00:00,-1
6,SpiceJet soars 15% as net profit jumps five-fold to Rs 107 crore in Q3,2023-02-24 00:00:00,1
7,"Counting on RBI support, offshore investors build rupee crosses positions",2023-02-24 00:00:00,1
8,GAIL India rallies 5% in weak market; hits 8-month high on heavy volumes,2023-02-24 00:00:00,1
9,NSE Indices launches country's first ever Nifty India Municipal Bond Index,2023-02-24 00:00:00,1
10,"Olectra, in partnership with RIL, unveils hydrogen bus; stock zooms 20%",2023-02-24 00:00:00,1
11,Risks to the market rally are rising; oil stocks a good bet: Chris Wood,2023-02-24 00:00:00,-1
12,Mahindra CIE rallies 9% to hit 52-week high on positive demand outlook,2023-02-24 00:00:00,1
13,How to trade Zee Entertainment as NCLT places it under insolvency process,2023-02-24 00:00:00,-1
14,LIC's investment in Adani Group stocks now stands close to cost: Report,2023-02-24 00:00:00,1
15,PolicyBazaar hits over 5-month high; surges 30% thus far in February,2023-02-24 00:00:00,1
16,Jindal Stainless (Hisar) fixes record date for merger with JSL; stock up 3%,2023-02-24 00:00:00,1
17,Mahindra Lifespace tumbles 8% after MD & CEO tenders resignation,2023-02-24 00:00:00,-1
18,"Siemens scaling new heights on strong performance, govt's infra thrust",2023-02-24 00:00:00,1
19,"Bear run enters sixth day as Sensex fall 142 pts, Nifty near 17,450",2023-02-24 00:00:00,-1
20,"Stocks to watch: Axis Bank, Zee Ent, SpiceJet, RIL, Bharat Forge, Alkem Lab",2023-02-24 00:00:00,1
21,"Sensex, Nifty extend losses into fifth session on rate hike fears",2023-02-23 00:00:00,-1
22,Companies disclosing ESG data report nearly 15% increase in scores,2023-02-23 00:00:00,1
23,"Despite NCLT setback, analysts remain positive on Zee Entertainment",2023-02-23 00:00:00,1
24,"With IPOs losing steam, Sebi steps in with hard underwriting move",2023-02-23 00:00:00,-1
25,Sebi plans to make registration mandatory for ESG rating providers,2023-02-23 00:00:00,0
26,61 words that NSE doesn't want traders to use without proper registration,2023-02-23 00:00:00,0
27,NSE gets Sebi approval to launch Social Stock Exchange as separate segment,2023-02-23 00:00:00,1
