,name,Engine,Mileage,Length,Height,Seating_Capacity,price,year,km,FuelType,Transmission,Owner
0,maruti-suzuki-swift,1197 ,21.21,3840 ,1530 ,5 ,785000.0,Jun 2019,32516 ,Petrol,Automatic,First
1,toyota-innova,2494 ,13.7,4585 ,1760 ,8 ,1075000.0,May 2015,63000 ,Diesel,Manual,First
2,maruti-suzuki-swift,1248 ,14.84,3760 ,1530 ,5 ,265000.0,Jun 2010,80200 ,Diesel,Manual,First
3,toyota-innova,2755 ,14.29,4735 ,1795 ,7 ,2275000.0,Jun 2019,107182 ,Diesel,Automatic,First
4,jeep-compass,1368 ,14.1,4395 ,1640 ,5 ,1900000.0,Jun 2020,18902 ,Petrol,Automatic,First
5,mercedes-benz-e-class,1950 ,12.06,5063 ,1494 ,5 ,4500000.0,Jun 2019,30000 ,Diesel,Automatic,Second
6,jeep-compass,1368 ,14.1,4395 ,1640 ,5 ,1375000.0,Dec 2017,54351 ,Petrol,Automatic,First
7,hyundai-creta,1582 ,17.01,4270 ,1630 ,5 ,1395000.0,Jun 2018,54000 ,Diesel,Automatic,First
8,hyundai-grand-i10,1197 ,19.77,3765 ,1520 ,5 ,475000.0,Apr 2018,40699 ,Petrol,Manual,First
9,hyundai-verna,1582 ,22.32,4370 ,1475 ,5 ,570000.0,Nov 2013,79592 ,Diesel,Manual,First
10,hyundai-grand-i10,1197 ,18.9,3765 ,1520 ,5 ,525000.0,Mar 2019,44620 ,Petrol,Manual,First
11,honda-city,1497 ,18.0,4440 ,1495 ,5 ,919999.9999999999,Jan 2018,22117 ,Petrol,Automatic,First
12,mini-cooper,1998 ,18.2,3850 ,1414 ,4 ,4200000.0,Oct 2021,11725 ,Petrol,Automatic,First
13,hyundai-creta,1591 ,15.29,4270 ,1665 ,5 ,1190000.0,Sep 2018,50824 ,Petrol,Automatic,First
14,maruti-suzuki-wagon-r,998 ,20.5,3599 ,1700 ,5 ,340000.0,Jul 2014,82772 ,Petrol,Manual,Second
15,maruti-suzuki-vitara-brezza,1248 ,24.29,3995 ,1640 ,5 ,670000.0,Jan 2017,78184 ,Diesel,Manual,First
16,maruti-suzuki-ciaz,1373 ,19.12,4490 ,1485 ,5 ,825000.0,Nov 2017,41468 ,Petrol,Automatic,First
18,tata-tiago,1047 ,27.28,3746 ,1535 ,5 ,395000.0,Aug 2017,62962 ,Petrol,Manual,First
19,maruti-suzuki-baleno,1197 ,21.4,3995 ,1500 ,5 ,878999.9999999999,Feb 2020,36861 ,Petrol,Manual,First
20,maruti-suzuki-s-presso,998 ,21.7,3565 ,1564 ,5 ,549000.0,Feb 2021,9649 ,Petrol,Manual,First
21,renault-kwid,799 ,25.17,3679 ,1478 ,5 ,300000.0,Aug 2016,10600 ,Petrol,Manual,First
22,hyundai-santro,1086 ,20.0,3610 ,1560 ,5 ,599000.0,Feb 2020,21594 ,Petrol,Manual,First
23,maruti-suzuki-vitara-brezza,1248 ,24.29,3995 ,1640 ,5 ,869999.9999999999,Jun 2019,44091 ,Diesel,Manual,Second
24,hyundai-verna,1582 ,22.32,4370 ,1475 ,5 ,550000.0,Aug 2014,79649 ,Diesel,Manual,Second
25,maruti-suzuki-wagon-r,998 ,26.6,3599 ,1700 ,5 ,475000.0,Mar 2018,89739 ,CNG,Manual,First
